

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
612.965  000.959  000.091: require('nvim-tree.events')
613.249  000.078  000.078: require('nvim-tree.log')
613.557  000.305  000.305: require('nvim-tree.git.utils')
613.657  000.097  000.097: require('nvim-tree.git.runner')
613.751  000.090  000.090: require('nvim-tree.watcher')
613.756  000.672  000.102: require('nvim-tree.git')
613.841  000.083  000.083: require('nvim-tree.explorer.watch')
613.920  000.077  000.077: require('nvim-tree.explorer.common')
614.082  000.082  000.082: require('nvim-tree.explorer.node-builders')
614.163  000.078  000.078: require('nvim-tree.explorer.sorters')
614.241  000.075  000.075: require('nvim-tree.explorer.filters')
614.484  000.135  000.135: require('nvim-tree.view')
614.490  000.247  000.112: require('nvim-tree.live-filter')
614.493  000.570  000.088: require('nvim-tree.explorer.explore')
614.576  000.082  000.082: require('nvim-tree.explorer.reload')
614.581  001.614  000.130: require('nvim-tree.explorer')
614.584  002.652  000.080: require('nvim-tree.core')
614.679  000.093  000.093: require('nvim-tree.diagnostics')
614.762  000.081  000.081: require('nvim-tree.renderer.components.padding')
614.844  000.079  000.079: require('nvim-tree.renderer.components.icons')
614.929  000.082  000.082: require('nvim-tree.renderer.components.full-name')
615.067  000.135  000.135: require('nvim-tree.renderer.help')
615.176  000.106  000.106: require('nvim-tree.renderer.components.git')
615.281  000.102  000.102: require('nvim-tree.renderer.builder')
615.366  000.082  000.082: require('nvim-tree.marks')
615.378  003.536  000.124: require('nvim-tree.renderer')
615.461  000.079  000.079: require('nvim-tree.actions.tree-modifiers.collapse-all')
615.652  000.188  000.188: require('nvim-tree.actions.root.dir-up')
615.770  000.116  000.116: require('nvim-tree.actions.root.change-dir')
615.858  000.085  000.085: require('nvim-tree.actions.reloaders.reloaders')
615.939  000.078  000.078: require('nvim-tree.actions.finders.find-file')
615.942  004.191  000.110: require('nvim-tree.lib')
616.034  000.090  000.090: require('nvim-tree.colors')
616.143  000.105  000.105: require('nvim-tree.legacy')
616.242  000.096  000.096: require('nvim-tree.actions.fs.copy-paste')
616.407  000.077  000.077: require('nvim-tree.actions.tree-modifiers.expand-all')
616.482  000.072  000.072: require('nvim-tree.actions.tree-modifiers.toggles')
616.568  000.082  000.082: require('nvim-tree.actions.fs.create-file')
616.646  000.075  000.075: require('nvim-tree.actions.fs.rename-file')
616.739  000.090  000.090: require('nvim-tree.actions.fs.trash')
616.821  000.079  000.079: require('nvim-tree.actions.fs.remove-file')
616.898  000.073  000.073: require('nvim-tree.actions.moves.parent')
616.972  000.071  000.071: require('nvim-tree.actions.moves.sibling')
617.046  000.070  000.070: require('nvim-tree.actions.moves.item')
617.127  000.075  000.075: require('nvim-tree.actions.finders.search-node')
617.201  000.071  000.071: require('nvim-tree.actions.node.run-command')
